#PWDR MnO2_Unmilled_Air_InitialScan.xrdml Scan 1 Peak List 
#wavelength =   1.540600
#      pos        dsp        esd          int        esd        sig        gam       FWHM
   21.8788    4.05912    0.00000       864.00       0.00    0.00010    0.00000    0.00000 
   21.9050    4.05431    0.00000       877.00       0.00    0.00010    0.00000    0.00000 
   21.9576    4.04473    0.00000       832.00       0.00    0.00010    0.00000    0.00000 
   21.9838    4.03996    0.00000       859.00       0.00    0.00010    0.00000    0.00000 
   22.0101    4.03520    0.00000       844.00       0.00    0.00010    0.00000    0.00000 
   22.0626    4.02571    0.00000       865.00       0.00    0.00010    0.00000    0.00000 
   22.0889    4.02098    0.00000       831.00       0.00    0.00010    0.00000    0.00000 
   22.1414    4.01156    0.00000       813.00       0.00    0.00010    0.00000    0.00000 
   22.1808    4.00453    0.00000       825.00       0.00    0.00010    0.00000    0.00000 
   22.2070    3.99985    0.00000       860.00       0.00    0.00010    0.00000    0.00000 
   22.2464    3.99286    0.00000       873.00       0.00    0.00010    0.00000    0.00000 
   22.3383    3.97664    0.00000       832.00       0.00    0.00010    0.00000    0.00000 
   22.3646    3.97203    0.00000       860.00       0.00    0.00010    0.00000    0.00000 
   22.3909    3.96743    0.00000       827.00       0.00    0.00010    0.00000    0.00000 
   22.4171    3.96284    0.00000       828.00       0.00    0.00010    0.00000    0.00000 
   22.4434    3.95826    0.00000       885.00       0.00    0.00010    0.00000    0.00000 
   22.4696    3.95369    0.00000       822.00       0.00    0.00010    0.00000    0.00000 
   22.5222    3.94459    0.00000       853.00       0.00    0.00010    0.00000    0.00000 
   22.5484    3.94006    0.00000       834.00       0.00    0.00010    0.00000    0.00000 
   22.5878    3.93328    0.00000       838.00       0.00    0.00010    0.00000    0.00000 
   22.6403    3.92427    0.00000       867.00       0.00    0.00010    0.00000    0.00000 
   22.6797    3.91754    0.00000       829.00       0.00    0.00010    0.00000    0.00000 
   22.7060    3.91307    0.00000       855.00       0.00    0.00010    0.00000    0.00000 
   22.7322    3.90861    0.00000       840.00       0.00    0.00010    0.00000    0.00000 
   22.7716    3.90194    0.00000       871.00       0.00    0.00010    0.00000    0.00000 
   22.7979    3.89750    0.00000       822.00       0.00    0.00010    0.00000    0.00000 
   22.8504    3.88866    0.00000       832.00       0.00    0.00010    0.00000    0.00000 
   22.8898    3.88206    0.00000       902.00       0.00    0.00010    0.00000    0.00000 
   22.9161    3.87767    0.00000       815.00       0.00    0.00010    0.00000    0.00000 
   22.9423    3.87329    0.00000       821.00       0.00    0.00010    0.00000    0.00000 
   23.0080    3.86239    0.00000       829.00       0.00    0.00010    0.00000    0.00000 
   23.0868    3.84939    0.00000       883.00       0.00    0.00010    0.00000    0.00000 
   23.1393    3.84077    0.00000       813.00       0.00    0.00010    0.00000    0.00000 
   23.1787    3.83433    0.00000       834.00       0.00    0.00010    0.00000    0.00000 
   23.2049    3.83005    0.00000       817.00       0.00    0.00010    0.00000    0.00000 
   23.2312    3.82578    0.00000       862.00       0.00    0.00010    0.00000    0.00000 
   23.2575    3.82152    0.00000       845.00       0.00    0.00010    0.00000    0.00000 
   23.3100    3.81303    0.00000       851.00       0.00    0.00010    0.00000    0.00000 
   23.3494    3.80668    0.00000       830.00       0.00    0.00010    0.00000    0.00000 
   23.3888    3.80036    0.00000       844.00       0.00    0.00010    0.00000    0.00000 
   23.4150    3.79616    0.00000       843.00       0.00    0.00010    0.00000    0.00000 
   23.4413    3.79197    0.00000       819.00       0.00    0.00010    0.00000    0.00000 
   23.4938    3.78361    0.00000       850.00       0.00    0.00010    0.00000    0.00000 
   23.5332    3.77736    0.00000       818.00       0.00    0.00010    0.00000    0.00000 
   23.5726    3.77114    0.00000       827.00       0.00    0.00010    0.00000    0.00000 
   23.5988    3.76700    0.00000       819.00       0.00    0.00010    0.00000    0.00000 
   23.7039    3.75055    0.00000       885.00       0.00    0.00010    0.00000    0.00000 
   23.7301    3.74646    0.00000       807.00       0.00    0.00010    0.00000    0.00000 
   23.7827    3.73830    0.00000       820.00       0.00    0.00010    0.00000    0.00000 
   23.8089    3.73424    0.00000       819.00       0.00    0.00010    0.00000    0.00000 
   23.8352    3.73018    0.00000       820.00       0.00    0.00010    0.00000    0.00000 
   23.9008    3.72009    0.00000       871.00       0.00    0.00010    0.00000    0.00000 
   23.9402    3.71405    0.00000       834.00       0.00    0.00010    0.00000    0.00000 
   23.9796    3.70804    0.00000       820.00       0.00    0.00010    0.00000    0.00000 
   24.0059    3.70404    0.00000       811.00       0.00    0.00010    0.00000    0.00000 
   24.0453    3.69807    0.00000       845.00       0.00    0.00010    0.00000    0.00000 
