pos	int
21.0679	11.00
21.0809	7.00
21.0939	9.00
21.1069	14.00
21.1199	16.00
21.1329	14.00
21.1459	14.00
21.1589	17.00
21.1719	17.00
21.1849	13.00
21.1979	10.00
21.2109	14.00
21.2239	23.00
21.2369	25.00
21.2499	17.00
21.2629	16.00
21.2759	17.00
21.2889	13.00
21.3019	12.00
21.3149	12.00
21.3279	16.00
21.3409	16.00
21.3539	14.00
21.3669	15.00
21.3799	15.00
21.3929	17.00
21.4059	19.00
21.4189	18.00
21.4319	12.00
21.4449	17.00
21.4579	22.00
21.4709	17.00
21.4839	11.00
21.4969	8.00
21.5099	11.00
21.5229	6.00
21.5359	10.00
21.5489	14.00
21.5619	10.00
21.5749	16.00
21.5878	15.00
21.6008	13.00
21.6138	15.00
21.6268	10.00
21.6398	11.00
21.6528	15.00
21.6658	14.00
21.6788	15.00
21.6918	15.00
21.7048	10.00
21.7178	15.00
21.7308	16.00
21.7438	22.00
21.7568	13.00
21.7698	19.00
21.7828	13.00
21.7958	18.00
21.8088	13.00
21.8218	14.00
21.8348	12.00
21.8478	25.00
21.8608	22.00
21.8738	15.00
21.8868	9.00
21.8998	18.00
21.9128	20.00
21.9258	20.00
21.9388	16.00
21.9518	16.00
21.9648	10.00
21.9778	12.00
21.9908	17.00
22.0038	19.00
22.0168	16.00
22.0298	18.00
22.0428	11.00
22.0558	22.00
22.0688	22.00
22.0818	23.00
22.0948	22.00
22.1078	28.00
22.1207	19.00
22.1337	17.00
22.1467	16.00
22.1597	12.00
22.1727	14.00
22.1857	10.00
22.1987	14.00
22.2117	13.00
22.2247	16.00
22.2377	22.00
22.2507	17.00
22.2637	14.00
22.2767	23.00
22.2897	18.00
22.3027	13.00
22.3157	19.00
22.3287	18.00
22.3417	14.00
22.3547	16.00
22.3677	20.00
22.3807	19.00
22.3937	15.00
22.4067	16.00
22.4197	13.00
22.4327	12.00
22.4457	17.00
22.4587	23.00
22.4717	21.00
22.4847	15.00
22.4977	15.00
22.5107	13.00
22.5237	12.00
22.5367	14.00
22.5497	15.00
22.5627	12.00
22.5757	14.00
22.5887	16.00
22.6017	15.00
22.6147	14.00
22.6277	17.00
22.6407	17.00
22.6537	14.00
22.6666	14.00
22.6796	14.00
22.6926	14.00
22.7056	17.00
22.7186	16.00
22.7316	25.00
22.7446	21.00
22.7576	17.00
22.7706	26.00
22.7836	22.00
22.7966	20.00
22.8096	19.00
22.8226	21.00
22.8356	20.00
22.8486	19.00
22.8616	10.00
22.8746	15.00
22.8876	18.00
22.9006	15.00
22.9136	18.00
22.9266	13.00
22.9396	14.00
22.9526	14.00
22.9656	11.00
22.9786	15.00
22.9916	20.00
23.0046	19.00
23.0176	13.00
23.0306	8.00
23.0436	14.00
23.0566	17.00
23.0696	16.00
23.0826	11.00
23.0956	15.00
23.1086	14.00
23.1216	13.00
23.1346	9.00
23.1476	17.00
23.1606	16.00
23.1736	9.00
23.1866	18.00
23.1995	24.00
23.2125	4.00
23.2255	8.00
23.2385	13.00
23.2515	22.00
23.2645	14.00
23.2775	16.00
23.2905	19.00
23.3035	15.00
23.3165	17.00
23.3295	17.00
23.3425	22.00
23.3555	20.00
23.3685	13.00
23.3815	12.00
23.3945	10.00
23.4075	9.00
23.4205	10.00
23.4335	13.00
23.4465	18.00
23.4595	14.00
23.4725	9.00
23.4855	16.00
23.4985	19.00
23.5115	20.00
23.5245	14.00
23.5375	16.00
23.5505	18.00
23.5635	19.00
23.5765	12.00
23.5895	11.00
23.6025	15.00
23.6155	10.00
23.6285	13.00
23.6415	19.00
23.6545	20.00
23.6675	19.00
23.6805	17.00
23.6935	13.00
23.7065	14.00
23.7195	17.00
23.7325	19.00
23.7454	15.00
23.7584	13.00
23.7714	18.00
23.7844	22.00
23.7974	16.00
23.8104	12.00
23.8234	15.00
23.8364	16.00
23.8494	11.00
23.8624	12.00
23.8754	19.00
23.8884	18.00
23.9014	21.00
23.9144	20.00
23.9274	19.00
23.9404	16.00
23.9534	17.00
23.9664	15.00
23.9794	13.00
23.9924	7.00
24.0054	10.00
24.0184	13.00
24.0314	13.00
24.0444	11.00
24.0574	12.00
24.0704	15.00
24.0834	20.00
24.0964	18.00
24.1094	16.00
24.1224	15.00
24.1354	15.00
24.1484	11.00
24.1614	15.00
24.1744	13.00
24.1874	17.00
24.2004	18.00
24.2134	12.00
24.2264	15.00
24.2394	19.00
24.2524	28.00
24.2654	19.00
24.2783	12.00
24.2913	16.00
24.3043	20.00
24.3173	13.00
24.3303	15.00
24.3433	14.00
24.3563	9.00
24.3693	11.00
24.3823	15.00
24.3953	12.00
24.4083	15.00
24.4213	9.00
24.4343	15.00
24.4473	11.00
24.4603	11.00
24.4733	13.00
24.4863	15.00
24.4993	10.00
24.5123	12.00
24.5253	18.00
24.5383	13.00
24.5513	20.00
24.5643	21.00
24.5773	17.00
24.5903	15.00
24.6033	18.00
24.6163	14.00
24.6293	10.00
