pos	int	
24.5758	916.00	
24.5949	838.00	
24.6139	864.00	
24.6330	856.00	
24.6520	842.00	
24.6711	853.00	
24.6901	793.00	
24.7092	876.00	
24.7282	823.00	
24.7473	836.00	
24.7663	846.00	
24.7854	910.00	
24.8044	891.00	
24.8235	806.00	
24.8426	823.00	
24.8616	813.00	
24.8807	802.00	
24.8997	910.00	
24.9188	905.00	
24.9378	849.00	
24.9569	776.00	
24.9759	878.00	
24.9950	822.00	
25.0140	873.00	
25.0331	796.00	
25.0521	806.00	
25.0712	833.00	
25.0903	807.00	
25.1093	801.00	
25.1284	927.00	
25.1474	870.00	
25.1665	904.00	
25.1855	783.00	
25.2046	874.00	
25.2236	805.00	
25.2427	816.00	
25.2617	846.00	
25.2808	784.00	
25.2998	820.00	
25.3189	807.00	
25.3379	819.00	
25.3570	734.00	
25.3761	826.00	
25.3951	794.00	
25.4142	760.00	
25.4332	842.00	
25.4523	858.00	
25.4713	846.00	
25.4904	793.00	
25.5094	773.00	
25.5285	787.00	
25.5475	788.00	
25.5666	839.00	
25.5856	804.00	
25.6047	814.00	
25.6237	789.00	
25.6428	792.00	
25.6619	811.00	
25.6809	825.00	
25.7000	834.00	
25.7190	836.00	
25.7381	855.00	
25.7571	859.00	
25.7762	828.00	
25.7952	783.00	
25.8143	804.00	
25.8333	808.00	
25.8524	869.00	
25.8714	821.00	
25.8905	825.00	
25.9095	830.00	
25.9286	841.00	
25.9477	812.00	
25.9667	797.00	
25.9858	797.00	
26.0048	850.00	
26.0239	833.00	
26.0429	765.00	
26.0620	778.00	
26.0810	759.00	
26.1001	811.00	
26.1191	774.00	
26.1382	787.00	
26.1572	803.00	
26.1763	816.00	
26.1953	796.00	
26.2144	788.00	
26.2335	781.00	
26.2525	813.00	
26.2716	805.00	
26.2906	780.00	
26.3097	820.00	
26.3287	848.00	
26.3478	813.00	
26.3668	776.00	
26.3859	747.00	
26.4049	820.00	
26.4240	848.00	
26.4430	820.00	
26.4621	763.00	
26.4811	807.00	
26.5002	793.00	
26.5193	765.00	
26.5383	786.00	
26.5574	824.00	
26.5764	771.00	
26.5955	805.00	
26.6145	796.00	
26.6336	798.00	
26.6526	826.00	
26.6717	783.00	
26.6907	814.00	
26.7098	788.00	
26.7288	706.00	
26.7479	763.00	
26.7669	814.00	
26.7860	834.00	
26.8051	756.00	
26.8241	813.00	
26.8432	853.00	
26.8622	850.00	
26.8813	782.00	
26.9003	763.00	
26.9194	855.00	
26.9384	819.00	
26.9575	818.00	
26.9765	759.00	
26.9956	791.00	
27.0146	845.00	
27.0337	737.00	
27.0527	788.00	
27.0718	759.00	
27.0909	816.00	
27.1099	804.00	
27.1290	800.00	
27.1480	799.00	
27.1671	799.00	
27.1861	842.00	
27.2052	761.00	
27.2242	781.00	
27.2433	824.00	
27.2623	854.00	
27.2814	854.00	
27.3004	878.00	
27.3195	856.00	
27.3385	866.00	
27.3576	941.00	
27.3767	830.00	
27.3957	911.00	
27.4148	819.00	
27.4338	838.00	
27.4529	864.00	
27.4719	851.00	
27.4910	799.00	
27.5100	830.00	
27.5291	812.00	
27.5481	851.00	
27.5672	858.00	
27.5862	870.00	
27.6053	824.00	
27.6243	839.00	
27.6434	798.00	
27.6625	842.00	
27.6815	814.00	
27.7006	805.00	
27.7196	887.00	
27.7387	842.00	
27.7577	833.00	
27.7768	877.00	
27.7958	839.00	
27.8149	876.00	
27.8339	857.00	
27.8530	892.00	
27.8720	848.00	
27.8911	801.00	
27.9101	838.00	
27.9292	888.00	
27.9483	874.00	
27.9673	844.00	
27.9864	893.00	
28.0054	925.00	
28.0245	939.00	
28.0435	930.00	
28.0626	887.00	
28.0816	886.00	
28.1007	941.00	
28.1197	938.00	
28.1388	951.00	
28.1578	978.00	
28.1769	980.00	
28.1959	1047.00	
28.2150	1008.00	
28.2341	1036.00	
28.2531	992.00	
28.2722	1058.00	
28.2912	1051.00	
28.3103	1065.00	
28.3293	1061.00	
28.3484	1062.00	
28.3674	1048.00	
28.3865	1128.00	
28.4055	1064.00	
28.4246	1130.00	
28.4436	1117.00	
28.4627	1084.00	
28.4817	1170.00	
28.5008	1093.00	
28.5199	1084.00	
28.5389	1061.00	
28.5580	1125.00	
28.5770	1082.00	
28.5961	1109.00	
28.6151	1101.00	
28.6342	1136.00	
28.6532	1098.00	
28.6723	1134.00	
28.6913	1204.00	
28.7104	1113.00	
28.7294	1108.00	
28.7485	1158.00	
28.7675	1137.00	
28.7866	1120.00	
28.8057	1080.00	
28.8247	1147.00	
28.8438	1125.00	
28.8628	1137.00	
28.8819	1148.00	
28.9009	1125.00	
28.9200	1165.00	
28.9390	1177.00	
28.9581	1109.00	
28.9771	1143.00	
28.9962	1148.00	
29.0152	1107.00	
29.0343	1104.00	
29.0533	1107.00	
29.0724	1122.00	
29.0915	1126.00	
29.1105	1139.00	
29.1296	1082.00	
29.1486	1157.00	
29.1677	1069.00	
29.1867	1109.00	
29.2058	1123.00	
29.2248	1066.00	
29.2439	1072.00	
29.2629	1108.00	
29.2820	1036.00	
29.3010	1057.00	
29.3201	1060.00	
29.3391	1110.00	
29.3582	1063.00	
29.3773	1105.00	
29.3963	987.00	
29.4154	953.00	
29.4344	967.00	
29.4535	995.00	
29.4725	1019.00	
29.4916	1066.00	
29.5106	974.00	
29.5297	989.00	
29.5487	976.00	
29.5678	1043.00	
29.5868	1050.00	
29.6059	932.00	
29.6249	1019.00	
29.6440	986.00	
29.6631	996.00	
29.6821	1006.00	
29.7012	968.00	
29.7202	990.00	
29.7393	976.00	
29.7583	996.00	
29.7774	947.00	
29.7964	946.00	
29.8155	1008.00	
29.8345	976.00	
29.8536	969.00	
29.8726	963.00	
29.8917	1015.00	
29.9107	989.00	
29.9298	958.00	
29.9489	1006.00	
29.9679	1042.00	
29.9870	1076.00	
30.0060	1087.00	
30.0251	1063.00	
30.0441	1179.00	
30.0632	1153.00	
30.0822	1221.00	
30.1013	1248.00	
30.1203	1336.00	
30.1394	1421.00	
30.1584	1407.00	
30.1775	1489.00	
30.1965	1735.00	
30.2156	1902.00	
30.2347	2056.00	
30.2537	2209.00	
30.2728	2475.00	
30.2918	2755.00	
30.3109	3175.00	
30.3299	3388.00	
30.3490	3725.00	
30.3680	4170.00	
30.3871	4378.00	
30.4061	4758.00	
30.4252	5100.00	
30.4442	5430.00	
30.4633	5751.00	
30.4823	5868.00	
30.5014	6278.00	
30.5205	6209.00	
30.5395	6541.00	
30.5586	6373.00	
30.5776	6406.00	
30.5967	6292.00	
30.6157	5928.00	
30.6348	5527.00	
30.6538	5057.00	
30.6729	4535.00	
30.6919	4139.00	
30.7110	3443.00	
30.7300	3111.00	
30.7491	2706.00	
30.7681	2258.00	
30.7872	2046.00	
30.8063	1832.00	
30.8253	1667.00	
30.8444	1577.00	
30.8634	1406.00	
30.8825	1352.00	
30.9015	1268.00	
30.9206	1214.00	
30.9396	1130.00	
30.9587	1142.00	
30.9777	1159.00	
30.9968	1087.00	
31.0158	1065.00	
31.0349	1034.00	
31.0539	1034.00	
31.0730	1094.00	
31.0921	1048.00	
31.1111	1069.00	
31.1302	982.00	
31.1492	985.00	
31.1683	987.00	
31.1873	1034.00	
31.2064	1031.00	
31.2254	1014.00	
31.2445	1020.00	
31.2635	995.00	
31.2826	940.00	
31.3016	999.00	
31.3207	1031.00	
31.3397	1037.00	
31.3588	1013.00	
31.3779	1001.00	
31.3969	1047.00	
31.4160	1065.00	
31.4350	1125.00	
31.4541	1099.00	
31.4731	1062.00	
31.4922	1100.00	
31.5112	1093.00	
31.5303	1222.00	
31.5493	1152.00	
31.5684	1194.00	
31.5874	1145.00	
31.6065	1243.00	
31.6255	1262.00	
31.6446	1252.00	
31.6637	1292.00	
31.6827	1310.00	
31.7018	1374.00	
31.7208	1433.00	
31.7399	1437.00	
31.7589	1373.00	
31.7780	1390.00	
31.7970	1442.00	
31.8161	1393.00	
31.8351	1427.00	
31.8542	1543.00	
31.8732	1492.00	
31.8923	1545.00	
31.9113	1474.00	
31.9304	1544.00	
31.9495	1460.00	
31.9685	1538.00	
31.9876	1515.00	
32.0066	1434.00	
32.0257	1470.00	
32.0447	1508.00	
32.0638	1480.00	
32.0828	1485.00	
32.1019	1478.00	
32.1209	1531.00	
32.1400	1517.00	
32.1590	1488.00	
32.1781	1476.00	
32.1971	1426.00	
32.2162	1426.00	
32.2353	1540.00	
32.2543	1459.00	
32.2734	1519.00	
32.2924	1583.00	
32.3115	1596.00	
32.3305	1669.00	
32.3496	1780.00	
32.3686	1959.00	
32.3877	2267.00	
32.4067	2603.00	
32.4258	2841.00	
32.4448	3391.00	
32.4639	3836.00	
32.4829	4422.00	
32.5020	4839.00	
32.5211	5097.00	
32.5401	5058.00	
32.5592	4886.00	
32.5782	4481.00	
32.5973	4143.00	
32.6163	3623.00	
32.6354	3241.00	
32.6544	2832.00	
32.6735	2340.00	
32.6925	2081.00	
32.7116	1771.00	
32.7306	1545.00	
32.7497	1431.00	
32.7687	1301.00	
32.7878	1235.00	
32.8069	1272.00	
32.8259	1190.00	
32.8450	1208.00	
32.8640	1223.00	
32.8831	1326.00	
32.9021	1400.00	
32.9212	1639.00	
32.9402	1953.00	
32.9593	2136.00	
32.9783	2208.00	
